"","NAME","pop","medincome","county"
"1","Belknap County, New Hampshire",63914,80719,"Belknap"
"2","Carroll County, New Hampshire",50679,77049,"Carroll"
"3","Cheshire County, New Hampshire",76610,76551,"Cheshire"
"4","Coos County, New Hampshire",31430,55247,"Coos"
"5","Grafton County, New Hampshire",90836,79949,"Grafton"
"6","Hillsborough County, New Hampshire",422733,95112,"Hillsborough"
"7","Merrimack County, New Hampshire",153918,88806,"Merrimack"
"8","Rockingham County, New Hampshire",315169,110225,"Rockingham"
"9","Strafford County, New Hampshire",130965,83212,"Strafford"
"10","Sullivan County, New Hampshire",43356,70788,"Sullivan"
