"","UMCSENT","date","MICH"
"1",74.4,2010-01-01,2.8
"2",73.6,2010-02-01,2.7
"3",73.6,2010-03-01,2.7
"4",72.2,2010-04-01,2.9
"5",73.6,2010-05-01,3.2
"6",76,2010-06-01,2.8
"7",67.8,2010-07-01,2.7
"8",68.9,2010-08-01,2.7
"9",68.2,2010-09-01,2.2
"10",67.7,2010-10-01,2.7
"11",71.6,2010-11-01,3
"12",74.5,2010-12-01,3
"13",74.2,2011-01-01,3.4
"14",77.5,2011-02-01,3.4
"15",67.5,2011-03-01,4.6
"16",69.8,2011-04-01,4.6
"17",74.3,2011-05-01,4.1
"18",71.5,2011-06-01,3.8
"19",63.7,2011-07-01,3.4
"20",55.8,2011-08-01,3.5
"21",59.5,2011-09-01,3.3
"22",60.8,2011-10-01,3.2
"23",63.7,2011-11-01,3.2
"24",69.9,2011-12-01,3.1
"25",75,2012-01-01,3.3
"26",75.3,2012-02-01,3.3
"27",76.2,2012-03-01,3.9
"28",76.4,2012-04-01,3.2
"29",79.3,2012-05-01,3
"30",73.2,2012-06-01,3.1
"31",72.3,2012-07-01,3
"32",74.3,2012-08-01,3.6
"33",78.3,2012-09-01,3.3
"34",82.6,2012-10-01,3.1
"35",82.7,2012-11-01,3.1
"36",72.9,2012-12-01,3.2
"37",73.8,2013-01-01,3.3
"38",77.6,2013-02-01,3.3
"39",78.6,2013-03-01,3.2
"40",76.4,2013-04-01,3.1
"41",84.5,2013-05-01,3.1
"42",84.1,2013-06-01,3
"43",85.1,2013-07-01,3.1
"44",82.1,2013-08-01,3
"45",77.5,2013-09-01,3.3
"46",73.2,2013-10-01,3
"47",75.1,2013-11-01,2.9
"48",82.5,2013-12-01,3
"49",81.2,2014-01-01,3.1
"50",81.6,2014-02-01,3.2
"51",80,2014-03-01,3.2
"52",84.1,2014-04-01,3.2
"53",81.9,2014-05-01,3.3
"54",82.5,2014-06-01,3.1
"55",81.8,2014-07-01,3.3
"56",82.5,2014-08-01,3.2
"57",84.6,2014-09-01,3
"58",86.9,2014-10-01,2.9
"59",88.8,2014-11-01,2.8
"60",93.6,2014-12-01,2.8
"61",98.1,2015-01-01,2.5
"62",95.4,2015-02-01,2.8
"63",93,2015-03-01,3
"64",95.9,2015-04-01,2.6
"65",90.7,2015-05-01,2.8
"66",96.1,2015-06-01,2.7
"67",93.1,2015-07-01,2.8
"68",91.9,2015-08-01,2.8
"69",87.2,2015-09-01,2.8
"70",90,2015-10-01,2.7
"71",91.3,2015-11-01,2.7
"72",92.6,2015-12-01,2.6
"73",92,2016-01-01,2.5
"74",91.7,2016-02-01,2.5
"75",91,2016-03-01,2.7
"76",89,2016-04-01,2.8
"77",94.7,2016-05-01,2.4
"78",93.5,2016-06-01,2.6
"79",90,2016-07-01,2.7
"80",89.8,2016-08-01,2.5
"81",91.2,2016-09-01,2.4
"82",87.2,2016-10-01,2.4
"83",93.8,2016-11-01,2.4
"84",98.2,2016-12-01,2.2
"85",98.5,2017-01-01,2.6
"86",96.3,2017-02-01,2.7
"87",96.9,2017-03-01,2.5
"88",97,2017-04-01,2.5
"89",97.1,2017-05-01,2.6
"90",95,2017-06-01,2.6
"91",93.4,2017-07-01,2.6
"92",96.8,2017-08-01,2.6
"93",95.1,2017-09-01,2.7
"94",100.7,2017-10-01,2.4
"95",98.5,2017-11-01,2.5
"96",95.9,2017-12-01,2.7
"97",95.7,2018-01-01,2.7
"98",99.7,2018-02-01,2.7
"99",101.4,2018-03-01,2.8
"100",98.8,2018-04-01,2.7
"101",98,2018-05-01,2.8
"102",98.2,2018-06-01,3
"103",97.9,2018-07-01,2.9
"104",96.2,2018-08-01,3
"105",100.1,2018-09-01,2.7
"106",98.6,2018-10-01,2.9
"107",97.5,2018-11-01,2.8
"108",98.3,2018-12-01,2.7
"109",91.2,2019-01-01,2.7
"110",93.8,2019-02-01,2.6
"111",98.4,2019-03-01,2.5
"112",97.2,2019-04-01,2.5
"113",100,2019-05-01,2.9
"114",98.2,2019-06-01,2.7
"115",98.4,2019-07-01,2.6
"116",89.8,2019-08-01,2.7
"117",93.2,2019-09-01,2.8
"118",95.5,2019-10-01,2.5
"119",96.8,2019-11-01,2.5
"120",99.3,2019-12-01,2.3
"121",99.8,2020-01-01,2.5
"122",101,2020-02-01,2.4
"123",89.1,2020-03-01,2.2
"124",71.8,2020-04-01,2.1
"125",72.3,2020-05-01,3.2
"126",78.1,2020-06-01,3
"127",72.5,2020-07-01,3
"128",74.1,2020-08-01,3.1
"129",80.4,2020-09-01,2.6
"130",81.8,2020-10-01,2.6
"131",76.9,2020-11-01,2.8
"132",80.7,2020-12-01,2.5
"133",79,2021-01-01,3
"134",76.8,2021-02-01,3.3
"135",84.9,2021-03-01,3.1
"136",88.3,2021-04-01,3.4
"137",82.9,2021-05-01,4.6
"138",85.5,2021-06-01,4.2
"139",81.2,2021-07-01,4.7
"140",70.3,2021-08-01,4.6
"141",72.8,2021-09-01,4.6
"142",71.7,2021-10-01,4.8
"143",67.4,2021-11-01,4.9
"144",70.6,2021-12-01,4.8
"145",67.2,2022-01-01,4.9
"146",62.8,2022-02-01,4.9
"147",59.4,2022-03-01,5.4
"148",65.2,2022-04-01,5.4
"149",58.4,2022-05-01,5.3
"150",50,2022-06-01,5.3
"151",51.5,2022-07-01,5.2
"152",58.2,2022-08-01,4.8
"153",58.6,2022-09-01,4.7
"154",59.9,2022-10-01,5
"155",56.7,2022-11-01,5
"156",59.8,2022-12-01,4.3
"157",64.9,2023-01-01,3.9
"158",66.9,2023-02-01,4.2
"159",62,2023-03-01,3.6
"160",63.7,2023-04-01,4.7
"161",59,2023-05-01,4.2
"162",64.2,2023-06-01,3.3
"163",71.5,2023-07-01,3.4
"164",69.4,2023-08-01,3.5
"165",67.9,2023-09-01,3.2
"166",63.8,2023-10-01,4.2
"167",61.3,2023-11-01,4.5
